flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
RH 9486_2026-09-03,RH 9486,HKC,2026-09-03,19:25,"IST,ALA",At gate 12:09 (06/09/2026),,,2026-09-07T16:13:40+08:00
QR 8402_2026-09-05,QR 8402,QTR,2026-09-05,03:15,DOH,At gate 00:38 (06/09/2026),,,2026-09-07T16:13:40+08:00
TK 6650_2026-09-05,TK 6650,THY,2026-09-05,10:55,"IST,AMM",At gate 01:06 (06/09/2026),,,2026-09-07T16:13:40+08:00
CX 3546_2026-09-05,CX 3546,CPA,2026-09-05,15:50,BKK,At gate 17:23 (06/09/2026),,,2026-09-07T16:13:40+08:00
5Y 8140_2026-09-05,5Y 8140,GTI,2026-09-05,16:20,DEL,At gate 17:29 (06/09/2026),,,2026-09-07T16:13:40+08:00
CX 097_2026-09-05,CX 097,CPA,2026-09-05,21:15,"NLU,GDL,ANC",At gate 01:30 (06/09/2026),,,2026-09-07T16:13:40+08:00
ET 3728_2026-09-05,ET 3728,ETH,2026-09-05,22:00,"ADD,LGG",At gate 02:25 (06/09/2026),,,2026-09-07T16:13:40+08:00
3G 800_2026-09-05,3G 800,WCM,2026-09-05,23:00,BKI,At gate 05:40 (06/09/2026),,,2026-09-07T16:13:40+08:00
QY 516_2026-09-05,QY 516,BCS,2026-09-05,23:15,"LEJ,DWC",At gate 00:30 (06/09/2026),,,2026-09-07T16:13:40+08:00
2U 8650_2026-09-05,2U 8650,FKH,2026-09-05,23:40,DEL,At gate 02:00 (06/09/2026),,,2026-09-07T16:13:40+08:00
LD 681_2026-09-06,LD 681,AHK,2026-09-06,00:05,TPE,At gate 23:45 (05/09/2026),,,2026-09-07T16:13:40+08:00
KZ 203_2026-09-06,KZ 203,NCA,2026-09-06,00:10,NRT,At gate 23:48 (05/09/2026),,,2026-09-07T16:13:40+08:00
K4 703_2026-09-06,K4 703,CKS,2026-09-06,00:10,TLV,At gate 00:10,,,2026-09-07T16:13:40+08:00
QR 8452_2026-09-06,QR 8452,QTR,2026-09-06,00:20,"DOH,SYD",At gate 00:29,,,2026-09-07T16:13:40+08:00
