flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
K4 701_2026-06-10,K4 701,CKS,2026-06-10,00:00,TLV,At gate 10:27 (12/06/2026),,arrival,
QR 8438_2026-06-10,QR 8438,QTR,2026-06-10,00:00,DOH,At gate 23:18 (09/06/2026),,arrival,
LD 681_2026-06-10,LD 681,AHK,2026-06-10,00:20,TPE,At gate 00:09,,arrival,
LD 129_2026-06-10,LD 129,AHK,2026-06-10,00:25,ICN,At gate 00:26,,arrival,
JL 6781_2026-06-10,JL 6781,JAL,2026-06-10,00:30,NRT,At gate 00:30,,arrival,
3S 738_2026-06-10,3S 738,BOX,2026-06-10,00:30,"LEJ,BAH,HAN",At gate 00:07,,arrival,
LD 205_2026-06-10,LD 205,AHK,2026-06-10,00:40,KIX,At gate 00:40,,arrival,
HJ 021_2026-06-10,HJ 021,TMN,2026-06-10,00:40,SYD,At gate 00:39,,arrival,
LD 456_2026-06-10,LD 456,AHK,2026-06-10,00:45,"CEB,MNL",At gate 00:54,,arrival,
TH 3092_2026-06-10,TH 3092,RMY,2026-06-10,00:45,PEN,At gate 03:47,,arrival,
LD 217_2026-06-10,LD 217,AHK,2026-06-10,00:50,NGO,At gate 00:43,,arrival,
NH 8511_2026-06-10,NH 8511,ANA,2026-06-10,00:55,NRT,At gate 01:08,,arrival,
LD 209_2026-06-10,LD 209,AHK,2026-06-10,01:00,NRT,At gate 01:00,,arrival,
LD 769_2026-06-10,LD 769,AHK,2026-06-10,01:00,PEK,At gate 00:48,,arrival,
CI 5825_2026-06-10,CI 5825,CAL,2026-06-10,01:00,TPE,At gate 00:56,,arrival,
KE 313_2026-06-10,KE 313,KAL,2026-06-10,01:10,ICN,At gate 01:07,,arrival,
EK 9860_2026-06-10,EK 9860,UAE,2026-06-10,01:10,DWC,At gate 01:31,,arrival,
LD 783_2026-06-10,LD 783,AHK,2026-06-10,01:15,PVG,At gate 01:03,,arrival,
LD 562_2026-06-10,LD 562,AHK,2026-06-10,01:20,SGN,At gate 01:13,,arrival,
8K 525_2026-06-10,8K 525,KMI,2026-06-10,01:20,"BKK,HAN",At gate 01:23,,arrival,
BR 6537_2026-06-10,BR 6537,EVA,2026-06-10,01:20,TPE,At gate 01:21,,arrival,
LD 326_2026-06-10,LD 326,AHK,2026-06-10,01:25,SIN,At gate 01:27,,arrival,
LD 842_2026-06-10,LD 842,AHK,2026-06-10,01:30,BKK,At gate 01:34,,arrival,
TH 3507_2026-06-10,TH 3507,RMY,2026-06-10,01:30,KUL,At gate 01:32,,arrival,
KJ 973_2026-06-10,KJ 973,AIH,2026-06-10,01:40,ICN,At gate 01:37,,arrival,
CX 048_2026-06-10,CX 048,CPA,2026-06-10,01:45,"DAC,HAN",At gate 01:36,,arrival,
3Y 6012_2026-06-10,3Y 6012,MYU,2026-06-10,02:00,CGK,At gate 02:10,,arrival,
CX 2046_2026-06-10,CX 2046,CPA,2026-06-10,02:05,DEL,At gate 02:27,,arrival,
QR 8420_2026-06-10,QR 8420,QTR,2026-06-10,02:05,"DOH,MCT",At gate 01:12,,arrival,
TK 6350_2026-06-10,TK 6350,THY,2026-06-10,02:20,"IST,RUH",At gate 01:50,,arrival,
ET 3794_2026-06-10,ET 3794,ETH,2026-06-10,02:30,"ADD,MST",At gate 03:19,,arrival,
QR 8018_2026-06-10,QR 8018,QTR,2026-06-10,02:35,"DOH,MEL",At gate 03:33,,arrival,
LD 721_2026-06-10,LD 721,AHK,2026-06-10,02:40,CTU,At gate 01:36,,arrival,
WW 890_2026-06-10,WW 890,KXP,2026-06-10,02:55,KUL,Cancelled,,arrival,
K4 288_2026-06-10,K4 288,CKS,2026-06-10,03:00,"CVG,ICN",At gate 02:56,,arrival,
MB 479_2026-06-10,MB 479,MNB,2026-06-10,03:00,BSZ,At gate 12:22,,arrival,
EK 9830_2026-06-10,EK 9830,UAE,2026-06-10,03:00,DWC,At gate 07:13,,arrival,
3S 720_2026-06-10,3S 720,BOX,2026-06-10,03:10,"LEJ,DEL",At gate 03:26,,arrival,
RH 395_2026-06-10,RH 395,HKC,2026-06-10,03:20,ATH,At gate 09:35,,arrival,
CX 028_2026-06-10,CX 028,CPA,2026-06-10,03:25,"SYD,MEL,BNE",At gate 05:06,,arrival,
D0 813_2026-06-10,D0 813,DHK,2026-06-10,03:25,"EMA,TLV,LEJ",At gate 19:12 (09/06/2026),,arrival,
3S 542_2026-06-10,3S 542,BOX,2026-06-10,03:30,"LEJ,BKK",At gate 03:45,,arrival,
3S 712_2026-06-10,3S 712,BOX,2026-06-10,03:40,"LEJ,DXB",At gate 04:41,,arrival,
CP 177_2026-06-10,CP 177,LSI,2026-06-10,03:45,FCO,At gate 03:39,,arrival,
QR 8410_2026-06-10,QR 8410,QTR,2026-06-10,03:45,DOH,At gate 04:53,,arrival,
CX 3261_2026-06-10,CX 3261,CPA,2026-06-10,03:50,CKG,At gate 06:53,,arrival,
ES 835_2026-06-10,ES 835,DHX,2026-06-10,03:55,"BAH,MCT",At gate 03:53,,arrival,
