flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
D0 540_2026-09-08,D0 540,DHK,2026-09-08,03:25,"TLV,EMA",Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3600_2026-09-08,ET 3600,ETH,2026-09-08,03:55,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ES 729_2026-09-08,ES 729,DHX,2026-09-08,03:55,BAH,Cancelled,,arrival,2026-09-08T11:45:35+08:00
SV 962_2026-09-08,SV 962,SVA,2026-09-08,05:25,RUH,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3753_2026-09-08,ET 3753,ETH,2026-09-08,07:00,MAD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CT 5901_2026-09-08,CT 5901,AAE,2026-09-08,15:00,LGG,Cancelled,,arrival,2026-09-08T11:45:35+08:00
5Y 4351_2026-09-08,5Y 4351,GTI,2026-09-08,15:40,"LGG,TBS",Cancelled,,arrival,2026-09-08T11:45:35+08:00
7L 246_2026-09-08,7L 246,AZG,2026-09-08,16:00,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
7L 571_2026-09-08,7L 571,AZG,2026-09-08,16:05,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
RH 393_2026-09-08,RH 393,HKC,2026-09-08,16:40,BUD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
5Y 3411_2026-09-08,5Y 3411,GTI,2026-09-08,18:45,LAX,Cancelled,,arrival,2026-09-08T11:45:35+08:00
7L 647_2026-09-08,7L 647,AZG,2026-09-08,19:55,GYD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3708_2026-09-08,ET 3708,ETH,2026-09-08,20:55,LGG,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3032_2026-09-08,ET 3032,ETH,2026-09-08,21:25,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
ET 3446_2026-09-08,ET 3446,ETH,2026-09-08,21:25,ADD,Cancelled,,arrival,2026-09-08T11:45:35+08:00
3G 800_2026-09-08,3G 800,WCM,2026-09-08,23:00,BKI,Cancelled,,arrival,2026-09-08T11:45:35+08:00
GA 860_2026-09-08,GA 860,GIA,2026-09-08,05:45,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
HX 1960_2026-09-08,HX 1960,CRK,2026-09-08,05:45,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 798_2026-09-08,CX 798,CPA,2026-09-08,06:05,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
BA 4148_2026-09-08,BA 4148,BAW,2026-09-08,06:05,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
AA 8918_2026-09-08,AA 8918,AAL,2026-09-08,06:05,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
CX 718_2026-09-08,CX 718,CPA,2026-09-08,14:10,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
QR 3468_2026-09-08,QR 3468,QTR,2026-09-08,14:10,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
AY 6552_2026-09-08,AY 6552,FIN,2026-09-08,14:10,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
BA 4572_2026-09-08,BA 4572,BAW,2026-09-08,14:10,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
AA 8904_2026-09-08,AA 8904,AAL,2026-09-08,14:10,CGK,Cancelled,,arrival,2026-09-08T11:45:35+08:00
UA 3934_2026-09-08,UA 3934,UAL,2026-09-08,18:45,HNL,Cancelled,,arrival,2026-09-08T11:45:35+08:00
