flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
F5 9912_2026-07-12,F5 9912,ATG,2026-07-12,13:30,,Cancelled,,departure,2026-07-15T15:39:21+08:00
WW 861_2026-07-14,WW 861,KXP,2026-07-14,13:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
MH 6104_2026-07-14,MH 6104,MAS,2026-07-14,13:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
F5 9720_2026-07-14,F5 9720,ATG,2026-07-14,21:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
RH 9490_2026-07-15,RH 9490,HKC,2026-07-15,04:30,,Cancelled,,departure,2026-07-15T15:39:21+08:00
ET 3784_2026-07-15,ET 3784,ETH,2026-07-15,04:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
SV 984_2026-07-15,SV 984,SVA,2026-07-15,05:20,,Cancelled,,departure,2026-07-15T15:39:21+08:00
SV 3024_2026-07-15,SV 3024,SVA,2026-07-15,07:20,,Cancelled,,departure,2026-07-15T15:39:21+08:00
5Y 8131_2026-07-15,5Y 8131,GTI,2026-07-15,09:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
WW 861_2026-07-15,WW 861,KXP,2026-07-15,13:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
7L 922_2026-07-15,7L 922,AZG,2026-07-15,14:50,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CT 123_2026-07-15,CT 123,AAE,2026-07-15,15:20,,Cancelled,,departure,2026-07-15T15:39:21+08:00
7L 624_2026-07-15,7L 624,AZG,2026-07-15,15:55,,Cancelled,,departure,2026-07-15T15:39:21+08:00
7L 1922_2026-07-15,7L 1922,AZG,2026-07-15,16:05,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CV 4162_2026-07-15,CV 4162,CLX,2026-07-15,16:50,,Cancelled,,departure,2026-07-15T15:39:21+08:00
WW 865_2026-07-15,WW 865,KXP,2026-07-15,18:35,,Cancelled,,departure,2026-07-15T15:39:21+08:00
F5 9720_2026-07-15,F5 9720,ATG,2026-07-15,18:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
RH 9458_2026-07-15,RH 9458,HKC,2026-07-15,21:35,,Delayed,,departure,2026-07-15T15:39:21+08:00
QF 7531_2026-07-15,QF 7531,QFA,2026-07-15,22:00,,Cancelled,,departure,2026-07-15T15:39:21+08:00
