flight_id,flight_no,airline,date,time,port,status,status_code,flight_type,last_updated
RH 318_2026-09-07,RH 318,HKC,2026-09-07,02:20,HAN,Est at 11:57 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
P9 880_2026-09-07,P9 880,MGE,2026-09-07,15:00,GUM,Est at 21:00 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
CX 3244_2026-09-07,CX 3244,CPA,2026-09-07,20:30,DEL,Est at 21:53 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
RH 9488_2026-09-07,RH 9488,HKC,2026-09-07,22:10,"IST,ALA",Est at 23:05 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
CX 3128_2026-09-07,CX 3128,CPA,2026-09-07,23:30,"SYD,MEL",At gate 00:41 (08/09/2026),,arrival,2026-09-08T11:45:35+08:00
K4 204_2026-09-08,K4 204,CKS,2026-09-08,00:00,"CVG,NRT",At gate 23:23 (07/09/2026),,arrival,2026-09-08T11:45:35+08:00
KZ 203_2026-09-08,KZ 203,NCA,2026-09-08,00:10,NRT,At gate 02:44,,arrival,2026-09-08T11:45:35+08:00
LD 681_2026-09-08,LD 681,AHK,2026-09-08,00:20,TPE,At gate 00:10,,arrival,2026-09-08T11:45:35+08:00
LD 129_2026-09-08,LD 129,AHK,2026-09-08,00:25,ICN,At gate 00:12,,arrival,2026-09-08T11:45:35+08:00
D0 574_2026-09-08,D0 574,DHK,2026-09-08,00:30,"LEJ,DEL,HAN",At gate 00:26,,arrival,2026-09-08T11:45:35+08:00
EY 933_2026-09-08,EY 933,ETD,2026-09-08,00:35,AUH,At gate 00:28,,arrival,2026-09-08T11:45:35+08:00
LD 205_2026-09-08,LD 205,AHK,2026-09-08,00:40,KIX,At gate 00:38,,arrival,2026-09-08T11:45:35+08:00
LD 456_2026-09-08,LD 456,AHK,2026-09-08,00:45,"CEB,MNL",At gate 00:45,,arrival,2026-09-08T11:45:35+08:00
TH 3092_2026-09-08,TH 3092,RMY,2026-09-08,00:45,PEN,At gate 00:45,,arrival,2026-09-08T11:45:35+08:00
LD 217_2026-09-08,LD 217,AHK,2026-09-08,00:50,NGO,At gate 00:54,,arrival,2026-09-08T11:45:35+08:00
EK 9840_2026-09-08,EK 9840,UAE,2026-09-08,00:50,DWC,At gate 00:56,,arrival,2026-09-08T11:45:35+08:00
NH 8511_2026-09-08,NH 8511,ANA,2026-09-08,00:55,NRT,At gate 00:47,,arrival,2026-09-08T11:45:35+08:00
LD 209_2026-09-08,LD 209,AHK,2026-09-08,01:00,NRT,At gate 01:09,,arrival,2026-09-08T11:45:35+08:00
LD 769_2026-09-08,LD 769,AHK,2026-09-08,01:00,PEK,At gate 00:50,,arrival,2026-09-08T11:45:35+08:00
CI 5835_2026-09-08,CI 5835,CAL,2026-09-08,01:00,TPE,At gate 01:47,,arrival,2026-09-08T11:45:35+08:00
KE 313_2026-09-08,KE 313,KAL,2026-09-08,01:10,ICN,At gate 01:01,,arrival,2026-09-08T11:45:35+08:00
LD 783_2026-09-08,LD 783,AHK,2026-09-08,01:15,PVG,At gate 01:17,,arrival,2026-09-08T11:45:35+08:00
LD 562_2026-09-08,LD 562,AHK,2026-09-08,01:20,"PEN,SGN",At gate 01:19,,arrival,2026-09-08T11:45:35+08:00
