flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
F5 9912_2026-07-12,F5 9912,ATG,2026-07-12,13:30,,Cancelled,,departure,2026-07-15T15:39:21+08:00
WW 861_2026-07-14,WW 861,KXP,2026-07-14,13:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
MH 6104_2026-07-14,MH 6104,MAS,2026-07-14,13:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
CX 3259_2026-07-14,CX 3259,CPA,2026-07-14,14:50,,At gate 06:01 (15/07/2026),,departure,2026-07-15T15:39:21+08:00
CI 5837_2026-07-14,CI 5837,CAL,2026-07-14,17:20,,At gate 11:30 (15/07/2026),,departure,2026-07-15T15:39:21+08:00
AK 8534_2026-07-14,AK 8534,AXM,2026-07-14,20:25,,At gate 11:40 (15/07/2026),,departure,2026-07-15T15:39:21+08:00
F5 9720_2026-07-14,F5 9720,ATG,2026-07-14,21:45,,Cancelled,,departure,2026-07-15T15:39:21+08:00
RH 372_2026-07-15,RH 372,HKC,2026-07-15,00:00,,At gate 07:39,,departure,2026-07-15T15:39:21+08:00
QR 8438_2026-07-15,QR 8438,QTR,2026-07-15,00:00,,At gate 23:54 (14/07/2026),,departure,2026-07-15T15:39:21+08:00
K4 285_2026-07-15,K4 285,CKS,2026-07-15,00:10,,At gate 23:48 (14/07/2026),,departure,2026-07-15T15:39:21+08:00
K4 703_2026-07-15,K4 703,CKS,2026-07-15,00:10,,At gate 00:43,,departure,2026-07-15T15:39:21+08:00
LD 681_2026-07-15,LD 681,AHK,2026-07-15,00:20,,At gate 23:58 (14/07/2026),,departure,2026-07-15T15:39:21+08:00
LD 129_2026-07-15,LD 129,AHK,2026-07-15,00:25,,At gate 00:35,,departure,2026-07-15T15:39:21+08:00
3S 738_2026-07-15,3S 738,BOX,2026-07-15,00:30,,At gate 00:24,,departure,2026-07-15T15:39:21+08:00
LD 205_2026-07-15,LD 205,AHK,2026-07-15,00:40,,At gate 00:42,,departure,2026-07-15T15:39:21+08:00
HJ 021_2026-07-15,HJ 021,TMN,2026-07-15,00:40,,At gate 00:47,,departure,2026-07-15T15:39:21+08:00
LD 456_2026-07-15,LD 456,AHK,2026-07-15,00:45,,At gate 00:58,,departure,2026-07-15T15:39:21+08:00
TH 3092_2026-07-15,TH 3092,RMY,2026-07-15,00:45,,At gate 00:52,,departure,2026-07-15T15:39:21+08:00
LD 217_2026-07-15,LD 217,AHK,2026-07-15,00:50,,At gate 00:35,,departure,2026-07-15T15:39:21+08:00
NH 8511_2026-07-15,NH 8511,ANA,2026-07-15,00:55,,At gate 00:15,,departure,2026-07-15T15:39:21+08:00
LD 209_2026-07-15,LD 209,AHK,2026-07-15,01:00,,At gate 00:24,,departure,2026-07-15T15:39:21+08:00
LD 769_2026-07-15,LD 769,AHK,2026-07-15,01:00,,At gate 01:00,,departure,2026-07-15T15:39:21+08:00
CI 5825_2026-07-15,CI 5825,CAL,2026-07-15,01:00,,At gate 01:15,,departure,2026-07-15T15:39:21+08:00
KE 313_2026-07-15,KE 313,KAL,2026-07-15,01:10,,At gate 02:50,,departure,2026-07-15T15:39:21+08:00
LD 783_2026-07-15,LD 783,AHK,2026-07-15,01:15,,At gate 00:51,,departure,2026-07-15T15:39:21+08:00
CX 035_2026-07-15,CX 035,CPA,2026-07-15,01:15,,At gate 00:59,,departure,2026-07-15T15:39:21+08:00
LD 562_2026-07-15,LD 562,AHK,2026-07-15,01:20,,At gate 01:24,,departure,2026-07-15T15:39:21+08:00
8K 525_2026-07-15,8K 525,KMI,2026-07-15,01:20,,At gate 01:43,,departure,2026-07-15T15:39:21+08:00
BR 6537_2026-07-15,BR 6537,EVA,2026-07-15,01:20,,At gate 01:13,,departure,2026-07-15T15:39:21+08:00
LD 326_2026-07-15,LD 326,AHK,2026-07-15,01:25,,At gate 01:44,,departure,2026-07-15T15:39:21+08:00
LD 842_2026-07-15,LD 842,AHK,2026-07-15,01:30,,At gate 01:35,,departure,2026-07-15T15:39:21+08:00
TH 3507_2026-07-15,TH 3507,RMY,2026-07-15,01:30,,At gate 01:27,,departure,2026-07-15T15:39:21+08:00
KJ 973_2026-07-15,KJ 973,AIH,2026-07-15,01:40,,At gate 01:50,,departure,2026-07-15T15:39:21+08:00
CX 048_2026-07-15,CX 048,CPA,2026-07-15,01:45,,At gate 01:28,,departure,2026-07-15T15:39:21+08:00
3Y 6012_2026-07-15,3Y 6012,MYU,2026-07-15,02:00,,At gate 02:20,,departure,2026-07-15T15:39:21+08:00
EK 9408_2026-07-15,EK 9408,UAE,2026-07-15,02:00,,At gate 01:18,,departure,2026-07-15T15:39:21+08:00
TK 6328_2026-07-15,TK 6328,THY,2026-07-15,02:05,,At gate 03:02,,departure,2026-07-15T15:39:21+08:00
CX 2046_2026-07-15,CX 2046,CPA,2026-07-15,02:05,,At gate 01:43,,departure,2026-07-15T15:39:21+08:00
TK 6350_2026-07-15,TK 6350,THY,2026-07-15,02:20,,At gate 02:28,,departure,2026-07-15T15:39:21+08:00
QR 8040_2026-07-15,QR 8040,QTR,2026-07-15,02:20,,At gate 09:40,,departure,2026-07-15T15:39:21+08:00
LD 721_2026-07-15,LD 721,AHK,2026-07-15,02:40,,At gate 02:08,,departure,2026-07-15T15:39:21+08:00
CP 177_2026-07-15,CP 177,LSI,2026-07-15,03:05,,At gate 04:41,,departure,2026-07-15T15:39:21+08:00
3S 720_2026-07-15,3S 720,BOX,2026-07-15,03:10,,At gate 02:57,,departure,2026-07-15T15:39:21+08:00
CX 028_2026-07-15,CX 028,CPA,2026-07-15,03:25,,At gate 03:14,,departure,2026-07-15T15:39:21+08:00
3S 542_2026-07-15,3S 542,BOX,2026-07-15,03:30,,At gate 03:41,,departure,2026-07-15T15:39:21+08:00
3S 712_2026-07-15,3S 712,BOX,2026-07-15,03:40,,At gate 07:05,,departure,2026-07-15T15:39:21+08:00
QR 8578_2026-07-15,QR 8578,QTR,2026-07-15,03:45,,At gate 04:00,,departure,2026-07-15T15:39:21+08:00
FX 5023_2026-07-15,FX 5023,FDX,2026-07-15,03:50,,At gate 03:42,,departure,2026-07-15T15:39:21+08:00
CX 3261_2026-07-15,CX 3261,CPA,2026-07-15,03:50,,At gate 03:54,,departure,2026-07-15T15:39:21+08:00
RH 393_2026-07-15,RH 393,HKC,2026-07-15,03:55,,At gate 04:16,,departure,2026-07-15T15:39:21+08:00
ES 835_2026-07-15,ES 835,DHX,2026-07-15,03:55,,At gate 04:07,,departure,2026-07-15T15:39:21+08:00
5X 004_2026-07-15,5X 004,UPS,2026-07-15,04:00,,At gate 04:41,,departure,2026-07-15T15:39:21+08:00
RH 328_2026-07-15,RH 328,HKC,2026-07-15,04:30,,At gate 04:38,,departure,2026-07-15T15:39:21+08:00
RH 9490_2026-07-15,RH 9490,HKC,2026-07-15,04:30,,Cancelled,,departure,2026-07-15T15:39:21+08:00
ET 3784_2026-07-15,ET 3784,ETH,2026-07-15,04:40,,Cancelled,,departure,2026-07-15T15:39:21+08:00
K4 252_2026-07-15,K4 252,CKS,2026-07-15,04:50,,At gate 05:02,,departure,2026-07-15T15:39:21+08:00
SR 814_2026-07-15,SR 814,XKY,2026-07-15,05:15,,At gate 04:56,,departure,2026-07-15T15:39:21+08:00
SV 984_2026-07-15,SV 984,SVA,2026-07-15,05:20,,Cancelled,,departure,2026-07-15T15:39:21+08:00
QR 8428_2026-07-15,QR 8428,QTR,2026-07-15,05:30,,At gate 05:18,,departure,2026-07-15T15:39:21+08:00
5Y 8028_2026-07-15,5Y 8028,GTI,2026-07-15,05:50,,At gate 06:26,,departure,2026-07-15T15:39:21+08:00
CX 2083_2026-07-15,CX 2083,CPA,2026-07-15,06:00,,At gate 06:04,,departure,2026-07-15T15:39:21+08:00
5Y 8284_2026-07-15,5Y 8284,GTI,2026-07-15,06:17,,At gate 07:47,,departure,2026-07-15T15:39:21+08:00
