flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
SV 986_2026-09-03,SV 986,SVA,2026-09-03,22:45,RUH,Cancelled,,,2026-09-07T17:00:32+08:00
CX 3348_2026-09-07,CX 3348,CPA,2026-09-07,01:05,"CGK,HAN",Cancelled,,,2026-09-07T17:00:32+08:00
CT 117_2026-09-07,CT 117,AAE,2026-09-07,03:20,BUD,Cancelled,,,2026-09-07T17:00:32+08:00
HJ 121_2026-09-07,HJ 121,TMN,2026-09-07,04:25,SYD,Cancelled,,,2026-09-07T17:00:32+08:00
CK 263_2026-09-07,CK 263,CKK,2026-09-07,04:45,PVG,Cancelled,,,2026-09-07T17:00:32+08:00
ET 3784_2026-09-07,ET 3784,ETH,2026-09-07,07:00,MAD,Cancelled,,,2026-09-07T17:00:32+08:00
5Y 8133_2026-09-07,5Y 8133,GTI,2026-09-07,07:35,LAX,Cancelled,,,2026-09-07T17:00:32+08:00
WW 861_2026-09-07,WW 861,KXP,2026-09-07,13:45,BKI,Cancelled,,,2026-09-07T17:00:32+08:00
SV 3030_2026-09-07,SV 3030,SVA,2026-09-07,14:25,RUH,Cancelled,,,2026-09-07T17:00:32+08:00
ET 3728X_2026-09-07,ET 3728X,ETH,2026-09-07,18:50,LGG,Cancelled,,,2026-09-07T17:00:32+08:00
