flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
MH 6103_2026-08-19,MH 6103,MAS,2026-08-19,19:40,KUL,Dep 01:41 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
CC 4800_2026-08-20,CC 4800,ABD,2026-08-20,09:20,"CMB, JNB",Est at 14:30 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
MP 9432_2026-08-20,MP 9432,MPH,2026-08-20,10:35,"GYD, AMS",Dep 07:00 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
AK 8535_2026-08-20,AK 8535,AXM,2026-08-20,12:20,KUL,Dep 07:03 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
RH 317_2026-08-20,RH 317,HKC,2026-08-20,15:55,HAN,Dep 11:03 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
CI 5838_2026-08-20,CI 5838,CAL,2026-08-20,19:20,TPE,Dep 00:03 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
CX 056_2026-08-20,CX 056,CPA,2026-08-20,20:25,PVG,Dep 07:00 (21/08/2026),,departure,2026-08-21T11:34:12+08:00
ET 3785_2026-08-21,ET 3785,ETH,2026-08-21,00:00,"MCT, MAD",Cancelled,,departure,2026-08-21T11:34:12+08:00
CX 2094_2026-08-21,CX 2094,CPA,2026-08-21,00:10,"ANC, ORD",Dep 01:42,,departure,2026-08-21T11:34:12+08:00
RH 4568_2026-08-21,RH 4568,HKC,2026-08-21,00:15,TPE,Dep 01:14,,departure,2026-08-21T11:34:12+08:00
RH 829_2026-08-21,RH 829,HKC,2026-08-21,00:15,PVG,Dep 09:36,,departure,2026-08-21T11:34:12+08:00
SV 987_2026-08-21,SV 987,SVA,2026-08-21,00:30,JED,Dep 01:14,,departure,2026-08-21T11:34:12+08:00
QR 8401_2026-08-21,QR 8401,QTR,2026-08-21,00:30,DOH,Dep 00:18,,departure,2026-08-21T11:34:12+08:00
CX 006_2026-08-21,CX 006,CPA,2026-08-21,00:50,NRT,Dep 02:03,,departure,2026-08-21T11:34:12+08:00
CX 096_2026-08-21,CX 096,CPA,2026-08-21,01:30,"ANC, NLU",Dep 01:57,,departure,2026-08-21T11:34:12+08:00
KZ 202_2026-08-21,KZ 202,NCA,2026-08-21,02:25,NRT,Est at 14:05,,departure,2026-08-21T11:34:12+08:00
KJ 974_2026-08-21,KJ 974,AIH,2026-08-21,02:30,ICN,Cancelled,,departure,2026-08-21T11:34:12+08:00
CI 5826_2026-08-21,CI 5826,CAL,2026-08-21,03:00,TPE,Dep 04:15,,departure,2026-08-21T11:34:12+08:00
KE 314_2026-08-21,KE 314,KAL,2026-08-21,03:10,ICN,Dep 03:36,,departure,2026-08-21T11:34:12+08:00
LD 204_2026-08-21,LD 204,AHK,2026-08-21,03:15,KIX,Dep 03:46,,departure,2026-08-21T11:34:12+08:00
LD 128_2026-08-21,LD 128,AHK,2026-08-21,03:20,ICN,Dep 03:47,,departure,2026-08-21T11:34:12+08:00
BR 6538_2026-08-21,BR 6538,EVA,2026-08-21,03:20,TPE,Dep 03:58,,departure,2026-08-21T11:34:12+08:00
LD 208_2026-08-21,LD 208,AHK,2026-08-21,03:25,NRT,Dep 03:25,,departure,2026-08-21T11:34:12+08:00
LD 327_2026-08-21,LD 327,AHK,2026-08-21,03:25,SIN,Dep 03:28,,departure,2026-08-21T11:34:12+08:00
LD 768_2026-08-21,LD 768,AHK,2026-08-21,03:25,PEK,Dep 03:34,,departure,2026-08-21T11:34:12+08:00
LD 216_2026-08-21,LD 216,AHK,2026-08-21,03:30,NGO,Dep 03:34,,departure,2026-08-21T11:34:12+08:00
8K 526_2026-08-21,8K 526,KMI,2026-08-21,03:30,BKK,Dep 03:27,,departure,2026-08-21T11:34:12+08:00
LD 457_2026-08-21,LD 457,AHK,2026-08-21,03:35,"MNL, CEB",Dep 03:52,,departure,2026-08-21T11:34:12+08:00
LD 782_2026-08-21,LD 782,AHK,2026-08-21,03:40,PVG,Dep 04:00,,departure,2026-08-21T11:34:12+08:00
LD 831_2026-08-21,LD 831,AHK,2026-08-21,03:40,BKK,Dep 03:54,,departure,2026-08-21T11:34:12+08:00
LD 561_2026-08-21,LD 561,AHK,2026-08-21,03:45,SGN,Dep 04:01,,departure,2026-08-21T11:34:12+08:00
TH 3508_2026-08-21,TH 3508,RMY,2026-08-21,03:45,KUL,Dep 04:32,,departure,2026-08-21T11:34:12+08:00
NH 8512_2026-08-21,NH 8512,ANA,2026-08-21,03:50,NRT,Dep 04:02,,departure,2026-08-21T11:34:12+08:00
3S 500_2026-08-21,3S 500,BOX,2026-08-21,04:00,LAX,Dep 04:12,,departure,2026-08-21T11:34:12+08:00
3Y 6011_2026-08-21,3Y 6011,MYU,2026-08-21,04:00,CGK,Dep 04:25,,departure,2026-08-21T11:34:12+08:00
LD 720_2026-08-21,LD 720,AHK,2026-08-21,04:05,CTU,Dep 04:07,,departure,2026-08-21T11:34:12+08:00
CX 072_2026-08-21,CX 072,CPA,2026-08-21,04:10,"ANC, MIA",Dep 04:34,,departure,2026-08-21T11:34:12+08:00
QR 8407_2026-08-21,QR 8407,QTR,2026-08-21,04:10,DOH,Dep 05:39,,departure,2026-08-21T11:34:12+08:00
TH 3091_2026-08-21,TH 3091,RMY,2026-08-21,04:15,PEN,Dep 04:39,,departure,2026-08-21T11:34:12+08:00
LD 680_2026-08-21,LD 680,AHK,2026-08-21,04:20,TPE,Dep 04:18,,departure,2026-08-21T11:34:12+08:00
MB 6050_2026-08-21,MB 6050,MNB,2026-08-21,04:30,SHJ,Dep 05:06,,departure,2026-08-21T11:34:12+08:00
ET 3769_2026-08-21,ET 3769,ETH,2026-08-21,05:00,"EMA, IST",Cancelled,,departure,2026-08-21T11:34:12+08:00
QR 8415_2026-08-21,QR 8415,QTR,2026-08-21,05:30,DOH,Dep 07:25,,departure,2026-08-21T11:34:12+08:00
3S 713_2026-08-21,3S 713,BOX,2026-08-21,05:35,"DXB, LEJ",Dep 06:05,,departure,2026-08-21T11:34:12+08:00
3S 735_2026-08-21,3S 735,BOX,2026-08-21,05:40,"BLR, LEJ",Dep 07:41,,departure,2026-08-21T11:34:12+08:00
ES 728_2026-08-21,ES 728,DHX,2026-08-21,05:40,BAH,Dep 05:48,,departure,2026-08-21T11:34:12+08:00
FX 5217_2026-08-21,FX 5217,FDX,2026-08-21,06:05,"IST, LGG, CDG, MEM",Dep 05:51,,departure,2026-08-21T11:34:12+08:00
3S 723_2026-08-21,3S 723,BOX,2026-08-21,06:10,"DXB, LEJ",Cancelled,,departure,2026-08-21T11:34:12+08:00
3S 748_2026-08-21,3S 748,BOX,2026-08-21,06:10,CVG,Dep 05:51,,departure,2026-08-21T11:34:12+08:00
K4 272_2026-08-21,K4 272,CKS,2026-08-21,06:35,"GYD, LGG",Dep 08:48,,departure,2026-08-21T11:34:12+08:00
D0 591_2026-08-21,D0 591,DHK,2026-08-21,06:40,"DEL, EMA",Dep 09:40,,departure,2026-08-21T11:34:12+08:00
CX 2058_2026-08-21,CX 2058,CPA,2026-08-21,06:45,PVG,Est at 13:55,,departure,2026-08-21T11:34:12+08:00
ET 3035_2026-08-21,ET 3035,ETH,2026-08-21,06:55,ADD,Cancelled,,departure,2026-08-21T11:34:12+08:00
