flight_id,flight_no,airline,date,time,origin,status,status_code,flight_type,last_updated
RH 9485_2026-08-22,RH 9485,HKC,2026-08-22,16:45,,Dep 01:56 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
EK 9839_2026-08-23,EK 9839,UAE,2026-08-23,05:55,,Est at 19:45 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
QY 517_2026-08-23,QY 517,BCS,2026-08-23,07:00,,Dep 06:50 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
MH 6107_2026-08-23,MH 6107,MAS,2026-08-23,14:00,,Dep 02:26 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
CC 4100_2026-08-23,CC 4100,ABD,2026-08-23,16:30,,Dep 07:02 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
5Y 654_2026-08-23,5Y 654,GTI,2026-08-23,16:50,,Dep 01:35 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
AK 8542_2026-08-23,AK 8542,AXM,2026-08-23,18:30,,Est at 16:10 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
RH 317_2026-08-23,RH 317,HKC,2026-08-23,19:25,,Dep 04:16 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
SV 3967_2026-08-23,SV 3967,SVA,2026-08-23,19:50,,Dep 00:10 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
QR 8455_2026-08-23,QR 8455,QTR,2026-08-23,22:55,,Est at 20:00 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
CX 3290_2026-08-23,CX 3290,CPA,2026-08-23,23:55,,Dep 07:52 (24/08/2026),,arrival,2026-08-24T11:51:52+08:00
EY 948_2026-08-24,EY 948,ETD,2026-08-24,00:30,,Dep 00:20,,arrival,2026-08-24T11:51:52+08:00
TH 671_2026-08-24,TH 671,RMY,2026-08-24,00:30,,Dep 00:00,,arrival,2026-08-24T11:51:52+08:00
CV 915_2026-08-24,CV 915,CLX,2026-08-24,00:40,,Dep 02:34,,arrival,2026-08-24T11:51:52+08:00
ET 3767_2026-08-24,ET 3767,ETH,2026-08-24,00:40,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
CX 096_2026-08-24,CX 096,CPA,2026-08-24,01:30,,Dep 01:35,,arrival,2026-08-24T11:51:52+08:00
QR 8008_2026-08-24,QR 8008,QTR,2026-08-24,01:35,,Dep 06:31,,arrival,2026-08-24T11:51:52+08:00
5X 169_2026-08-24,5X 169,UPS,2026-08-24,01:35,,Dep 02:23,,arrival,2026-08-24T11:51:52+08:00
TK 6257_2026-08-24,TK 6257,THY,2026-08-24,01:40,,Dep 01:46,,arrival,2026-08-24T11:51:52+08:00
QR 8477_2026-08-24,QR 8477,QTR,2026-08-24,02:15,,Dep 02:32,,arrival,2026-08-24T11:51:52+08:00
KZ 202_2026-08-24,KZ 202,NCA,2026-08-24,02:25,,Dep 02:46,,arrival,2026-08-24T11:51:52+08:00
QR 8411_2026-08-24,QR 8411,QTR,2026-08-24,02:30,,Dep 02:48,,arrival,2026-08-24T11:51:52+08:00
LD 680_2026-08-24,LD 680,AHK,2026-08-24,02:40,,Dep 02:44,,arrival,2026-08-24T11:51:52+08:00
KE 314_2026-08-24,KE 314,KAL,2026-08-24,03:10,,Dep 03:08,,arrival,2026-08-24T11:51:52+08:00
EK 9863_2026-08-24,EK 9863,UAE,2026-08-24,03:20,,Dep 09:55,,arrival,2026-08-24T11:51:52+08:00
QR 8415_2026-08-24,QR 8415,QTR,2026-08-24,03:35,,Dep 03:47,,arrival,2026-08-24T11:51:52+08:00
BR 6530_2026-08-24,BR 6530,EVA,2026-08-24,03:50,,Dep 05:26,,arrival,2026-08-24T11:51:52+08:00
QR 8435_2026-08-24,QR 8435,QTR,2026-08-24,05:00,,Dep 08:14,,arrival,2026-08-24T11:51:52+08:00
ES 720_2026-08-24,ES 720,DHX,2026-08-24,05:40,,Dep 05:52,,arrival,2026-08-24T11:51:52+08:00
MB 728_2026-08-24,MB 728,MNB,2026-08-24,06:00,,Est at 03:35 (25/08/2026),,arrival,2026-08-24T11:51:52+08:00
3S 633_2026-08-24,3S 633,BOX,2026-08-24,06:00,,Dep 05:42,,arrival,2026-08-24T11:51:52+08:00
CX 3286_2026-08-24,CX 3286,CPA,2026-08-24,06:55,,Dep 08:57,,arrival,2026-08-24T11:51:52+08:00
CK 264_2026-08-24,CK 264,CKK,2026-08-24,07:00,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
CI 5828_2026-08-24,CI 5828,CAL,2026-08-24,07:05,,Dep 07:25,,arrival,2026-08-24T11:51:52+08:00
CX 2049_2026-08-24,CX 2049,CPA,2026-08-24,07:15,,Dep 07:39,,arrival,2026-08-24T11:51:52+08:00
CX 3245_2026-08-24,CX 3245,CPA,2026-08-24,07:20,,Dep 11:34,,arrival,2026-08-24T11:51:52+08:00
K4 253_2026-08-24,K4 253,CKS,2026-08-24,07:25,,Dep 07:40,,arrival,2026-08-24T11:51:52+08:00
ET 3707_2026-08-24,ET 3707,ETH,2026-08-24,07:50,,Est at 11:05,,arrival,2026-08-24T11:51:52+08:00
HQ 9987_2026-08-24,HQ 9987,ADZ,2026-08-24,08:25,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
EK 9781_2026-08-24,EK 9781,UAE,2026-08-24,08:40,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
D4 801_2026-08-24,D4 801,GEL,2026-08-24,08:55,,Dep 11:01,,arrival,2026-08-24T11:51:52+08:00
RH 9457_2026-08-24,RH 9457,HKC,2026-08-24,09:00,,Est at 11:30,,arrival,2026-08-24T11:51:52+08:00
RH 9497_2026-08-24,RH 9497,HKC,2026-08-24,09:00,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
TK 6284_2026-08-24,TK 6284,THY,2026-08-24,09:20,,Dep 10:02,,arrival,2026-08-24T11:51:52+08:00
ET 3035_2026-08-24,ET 3035,ETH,2026-08-24,09:30,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
CX 098_2026-08-24,CX 098,CPA,2026-08-24,09:50,,Dep 10:12,,arrival,2026-08-24T11:51:52+08:00
MP 9472_2026-08-24,MP 9472,MPH,2026-08-24,10:35,,Dep 10:52,,arrival,2026-08-24T11:51:52+08:00
SQ 7974_2026-08-24,SQ 7974,SIA,2026-08-24,10:40,,Dep 10:46,,arrival,2026-08-24T11:51:52+08:00
EK 9849_2026-08-24,EK 9849,UAE,2026-08-24,10:40,,,,arrival,2026-08-24T11:51:52+08:00
CV 753_2026-08-24,CV 753,CLX,2026-08-24,11:35,,,,arrival,2026-08-24T11:51:52+08:00
5Y 8230_2026-08-24,5Y 8230,GTI,2026-08-24,11:50,,Est at 03:50 (25/08/2026),,arrival,2026-08-24T11:51:52+08:00
RH 9631_2026-08-24,RH 9631,HKC,2026-08-24,12:00,,Est at 13:00,,arrival,2026-08-24T11:51:52+08:00
RH 6651_2026-08-24,RH 6651,HKC,2026-08-24,12:20,,Dep 10:42,,arrival,2026-08-24T11:51:52+08:00
CX 049_2026-08-24,CX 049,CPA,2026-08-24,12:30,,,,arrival,2026-08-24T11:51:52+08:00
SR 815_2026-08-24,SR 815,XKY,2026-08-24,13:00,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
CV 283_2026-08-24,CV 283,CLX,2026-08-24,13:10,,Est at 14:05,,arrival,2026-08-24T11:51:52+08:00
KE 8314_2026-08-24,KE 8314,KAL,2026-08-24,13:10,,,,arrival,2026-08-24T11:51:52+08:00
5X 065_2026-08-24,5X 065,UPS,2026-08-24,13:20,,,,arrival,2026-08-24T11:51:52+08:00
3S 719_2026-08-24,3S 719,BOX,2026-08-24,14:05,,Est at 19:15,,arrival,2026-08-24T11:51:52+08:00
KZ 206_2026-08-24,KZ 206,NCA,2026-08-24,14:40,,,,arrival,2026-08-24T11:51:52+08:00
WW 862_2026-08-24,WW 862,KXP,2026-08-24,14:45,,Dep 02:08,,arrival,2026-08-24T11:51:52+08:00
CX 2084_2026-08-24,CX 2084,CPA,2026-08-24,15:30,,Est at 17:25,,arrival,2026-08-24T11:51:52+08:00
CP 324_2026-08-24,CP 324,LSI,2026-08-24,15:35,,,,arrival,2026-08-24T11:51:52+08:00
5X 019_2026-08-24,5X 019,UPS,2026-08-24,15:40,,,,arrival,2026-08-24T11:51:52+08:00
5X 061_2026-08-24,5X 061,UPS,2026-08-24,16:05,,,,arrival,2026-08-24T11:51:52+08:00
P9 881_2026-08-24,P9 881,MGE,2026-08-24,16:10,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
ET 3685_2026-08-24,ET 3685,ETH,2026-08-24,16:25,,Est at 17:45,,arrival,2026-08-24T11:51:52+08:00
KE 312_2026-08-24,KE 312,KAL,2026-08-24,16:40,,,,arrival,2026-08-24T11:51:52+08:00
EK 9797_2026-08-24,EK 9797,UAE,2026-08-24,16:40,,,,arrival,2026-08-24T11:51:52+08:00
3S 519_2026-08-24,3S 519,BOX,2026-08-24,17:15,,Est at 17:00,,arrival,2026-08-24T11:51:52+08:00
CV 278_2026-08-24,CV 278,CLX,2026-08-24,17:50,,,,arrival,2026-08-24T11:51:52+08:00
TH 641_2026-08-24,TH 641,RMY,2026-08-24,17:50,,Est at 18:00,,arrival,2026-08-24T11:51:52+08:00
CX 2041_2026-08-24,CX 2041,CPA,2026-08-24,18:20,,,,arrival,2026-08-24T11:51:52+08:00
5X 063_2026-08-24,5X 063,UPS,2026-08-24,19:05,,,,arrival,2026-08-24T11:51:52+08:00
2C 575_2026-08-24,2C 575,CMA,2026-08-24,19:30,,Est at 19:15,,arrival,2026-08-24T11:51:52+08:00
AK 8546_2026-08-24,AK 8546,AXM,2026-08-24,19:45,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
5X 059_2026-08-24,5X 059,UPS,2026-08-24,19:45,,,,arrival,2026-08-24T11:51:52+08:00
FX 5991_2026-08-24,FX 5991,FDX,2026-08-24,19:50,,,,arrival,2026-08-24T11:51:52+08:00
AK 8535_2026-08-24,AK 8535,AXM,2026-08-24,19:55,,Est at 06:15 (25/08/2026),,arrival,2026-08-24T11:51:52+08:00
SV 983_2026-08-24,SV 983,SVA,2026-08-24,20:00,,,,arrival,2026-08-24T11:51:52+08:00
7L 147_2026-08-24,7L 147,AZG,2026-08-24,20:25,,,,arrival,2026-08-24T11:51:52+08:00
HE 1710_2026-08-24,HE 1710,HGO,2026-08-24,20:30,,Est at 20:55,,arrival,2026-08-24T11:51:52+08:00
CX 054_2026-08-24,CX 054,CPA,2026-08-24,20:45,,,,arrival,2026-08-24T11:51:52+08:00
3V 400_2026-08-24,3V 400,TAY,2026-08-24,20:50,,Est at 21:30,,arrival,2026-08-24T11:51:52+08:00
5Y 8523_2026-08-24,5Y 8523,GTI,2026-08-24,21:00,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
5Y 8692_2026-08-24,5Y 8692,GTI,2026-08-24,21:05,,Est at 01:10 (25/08/2026),,arrival,2026-08-24T11:51:52+08:00
Y9 2562_2026-08-24,Y9 2562,SGA,2026-08-24,21:15,,,,arrival,2026-08-24T11:51:52+08:00
EK 9837_2026-08-24,EK 9837,UAE,2026-08-24,21:15,,Est at 20:00,,arrival,2026-08-24T11:51:52+08:00
RH 351_2026-08-24,RH 351,HKC,2026-08-24,21:20,,Est at 22:00,,arrival,2026-08-24T11:51:52+08:00
K4 702_2026-08-24,K4 702,CKS,2026-08-24,21:25,,Est at 20:45,,arrival,2026-08-24T11:51:52+08:00
ET 3229_2026-08-24,ET 3229,ETH,2026-08-24,21:30,,Cancelled,,arrival,2026-08-24T11:51:52+08:00
CX 3262_2026-08-24,CX 3262,CPA,2026-08-24,21:35,,,,arrival,2026-08-24T11:51:52+08:00
3S 536_2026-08-24,3S 536,BOX,2026-08-24,21:40,,,,arrival,2026-08-24T11:51:52+08:00
CV 7331_2026-08-24,CV 7331,CLX,2026-08-24,22:00,,Est at 06:50 (25/08/2026),,arrival,2026-08-24T11:51:52+08:00
QR 8431_2026-08-24,QR 8431,QTR,2026-08-24,22:05,,,,arrival,2026-08-24T11:51:52+08:00
EK 9851_2026-08-24,EK 9851,UAE,2026-08-24,22:15,,,,arrival,2026-08-24T11:51:52+08:00
7L 923_2026-08-24,7L 923,AZG,2026-08-24,23:40,,,,arrival,2026-08-24T11:51:52+08:00
TK 6065_2026-08-24,TK 6065,THY,2026-08-24,23:50,,,,arrival,2026-08-24T11:51:52+08:00
