flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
5Y 648_2026-08-17,5Y 648,GTI,2026-08-17,19:20,"ICN, ANC, ORD",Est at 04:10 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
AK 8542_2026-08-18,AK 8542,AXM,2026-08-18,19:45,KUL,Est at 12:15 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
K4 220_2026-08-18,K4 220,CKS,2026-08-18,21:15,CVG,Est at 07:00 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
SV 983_2026-08-18,SV 983,SVA,2026-08-18,21:30,JED,Est at 12:20 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
SV 963_2026-08-18,SV 963,SVA,2026-08-18,21:45,RUH,Est at 04:00 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
C6 7634_2026-08-18,C6 7634,MFX,2026-08-18,22:25,DEL,Est at 06:15 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
CX 050_2026-08-18,CX 050,CPA,2026-08-18,23:05,PVG,Est at 05:40 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
CC 161_2026-08-18,CC 161,ABD,2026-08-18,23:50,DWC,Est at 02:55 (19/08/2026),,departure,2026-08-18T16:40:23+08:00
ET 3785_2026-08-19,ET 3785,ETH,2026-08-19,00:00,"MCT, MAD",Cancelled,,departure,2026-08-18T16:40:23+08:00
ET 3791_2026-08-19,ET 3791,ETH,2026-08-19,00:00,LGG,Cancelled,,departure,2026-08-18T16:40:23+08:00
CT 161_2026-08-19,CT 161,AAE,2026-08-19,00:00,DWC,Est at 02:55,,departure,2026-08-18T16:40:23+08:00
RH 4568_2026-08-19,RH 4568,HKC,2026-08-19,00:15,TPE,Est at 01:00,,departure,2026-08-18T16:40:23+08:00
RH 829_2026-08-19,RH 829,HKC,2026-08-19,00:15,PVG,Est at 01:20,,departure,2026-08-18T16:40:23+08:00
QR 8441_2026-08-19,QR 8441,QTR,2026-08-19,00:40,DOH,,,departure,2026-08-18T16:40:23+08:00
QR 8467_2026-08-19,QR 8467,QTR,2026-08-19,00:40,DOH,,,departure,2026-08-18T16:40:23+08:00
CX 006_2026-08-19,CX 006,CPA,2026-08-19,00:50,NRT,,,departure,2026-08-18T16:40:23+08:00
KZ 202_2026-08-19,KZ 202,NCA,2026-08-19,01:25,NRT,,,departure,2026-08-18T16:40:23+08:00
CX 096_2026-08-19,CX 096,CPA,2026-08-19,01:30,"ANC, NLU",Est at 05:40,,departure,2026-08-18T16:40:23+08:00
2U 8011_2026-08-19,2U 8011,FKH,2026-08-19,01:40,"NQZ, RIX",,,departure,2026-08-18T16:40:23+08:00
QR 8439_2026-08-19,QR 8439,QTR,2026-08-19,02:00,DOH,,,departure,2026-08-18T16:40:23+08:00
NH 8512_2026-08-19,NH 8512,ANA,2026-08-19,02:25,NRT,,,departure,2026-08-18T16:40:23+08:00
5Y 3413_2026-08-19,5Y 3413,GTI,2026-08-19,02:50,"DWC, TLV",,,departure,2026-08-18T16:40:23+08:00
CI 5826_2026-08-19,CI 5826,CAL,2026-08-19,03:00,TPE,,,departure,2026-08-18T16:40:23+08:00
KE 314_2026-08-19,KE 314,KAL,2026-08-19,03:10,ICN,,,departure,2026-08-18T16:40:23+08:00
LD 204_2026-08-19,LD 204,AHK,2026-08-19,03:15,KIX,,,departure,2026-08-18T16:40:23+08:00
LD 128_2026-08-19,LD 128,AHK,2026-08-19,03:20,ICN,,,departure,2026-08-18T16:40:23+08:00
BR 6538_2026-08-19,BR 6538,EVA,2026-08-19,03:20,TPE,,,departure,2026-08-18T16:40:23+08:00
LD 208_2026-08-19,LD 208,AHK,2026-08-19,03:25,NRT,,,departure,2026-08-18T16:40:23+08:00
LD 327_2026-08-19,LD 327,AHK,2026-08-19,03:25,SIN,,,departure,2026-08-18T16:40:23+08:00
LD 768_2026-08-19,LD 768,AHK,2026-08-19,03:25,PEK,,,departure,2026-08-18T16:40:23+08:00
LD 216_2026-08-19,LD 216,AHK,2026-08-19,03:30,NGO,,,departure,2026-08-18T16:40:23+08:00
8K 526_2026-08-19,8K 526,KMI,2026-08-19,03:30,BKK,,,departure,2026-08-18T16:40:23+08:00
LD 457_2026-08-19,LD 457,AHK,2026-08-19,03:35,"MNL, CEB",,,departure,2026-08-18T16:40:23+08:00
LD 782_2026-08-19,LD 782,AHK,2026-08-19,03:40,PVG,,,departure,2026-08-18T16:40:23+08:00
LD 831_2026-08-19,LD 831,AHK,2026-08-19,03:40,BKK,,,departure,2026-08-18T16:40:23+08:00
LD 561_2026-08-19,LD 561,AHK,2026-08-19,03:45,SGN,,,departure,2026-08-18T16:40:23+08:00
TH 3508_2026-08-19,TH 3508,RMY,2026-08-19,03:45,KUL,,,departure,2026-08-18T16:40:23+08:00
RH 9487_2026-08-19,RH 9487,HKC,2026-08-19,03:50,"ALA, IST",Est at 14:00,,departure,2026-08-18T16:40:23+08:00
3S 748_2026-08-19,3S 748,BOX,2026-08-19,04:00,LAX,,,departure,2026-08-18T16:40:23+08:00
3Y 6011_2026-08-19,3Y 6011,MYU,2026-08-19,04:00,CGK,,,departure,2026-08-18T16:40:23+08:00
HJ 022_2026-08-19,HJ 022,TMN,2026-08-19,04:00,SYD,,,departure,2026-08-18T16:40:23+08:00
LD 720_2026-08-19,LD 720,AHK,2026-08-19,04:05,CTU,,,departure,2026-08-18T16:40:23+08:00
3G 841_2026-08-19,3G 841,WCM,2026-08-19,04:15,BKI,Est at 04:00,,departure,2026-08-18T16:40:23+08:00
TH 3091_2026-08-19,TH 3091,RMY,2026-08-19,04:15,PEN,,,departure,2026-08-18T16:40:23+08:00
LD 680_2026-08-19,LD 680,AHK,2026-08-19,04:20,TPE,,,departure,2026-08-18T16:40:23+08:00
TK 6351_2026-08-19,TK 6351,THY,2026-08-19,04:20,IST,,,departure,2026-08-18T16:40:23+08:00
CX 2090_2026-08-19,CX 2090,CPA,2026-08-19,04:25,"ANC, LAX, DFW",,,departure,2026-08-18T16:40:23+08:00
MB 6030_2026-08-19,MB 6030,MNB,2026-08-19,04:30,SHJ,Est at 04:50,,departure,2026-08-18T16:40:23+08:00
K4 280_2026-08-19,K4 280,CKS,2026-08-19,04:55,"ANC, ORD, CVG",,,departure,2026-08-18T16:40:23+08:00
EK 9831_2026-08-19,EK 9831,UAE,2026-08-19,05:00,DWC,,,departure,2026-08-18T16:40:23+08:00
3S 713_2026-08-19,3S 713,BOX,2026-08-19,05:35,"DXB, LEJ",,,departure,2026-08-18T16:40:23+08:00
3S 735_2026-08-19,3S 735,BOX,2026-08-19,05:40,"BLR, LEJ",,,departure,2026-08-18T16:40:23+08:00
ES 728_2026-08-19,ES 728,DHX,2026-08-19,05:40,BAH,,,departure,2026-08-18T16:40:23+08:00
FX 5023_2026-08-19,FX 5023,FDX,2026-08-19,06:00,"IST, CDG, LGG, MEM",,,departure,2026-08-18T16:40:23+08:00
3S 723_2026-08-19,3S 723,BOX,2026-08-19,06:00,"DXB, LEJ",,,departure,2026-08-18T16:40:23+08:00
3S 517_2026-08-19,3S 517,BOX,2026-08-19,06:10,LEJ,,,departure,2026-08-18T16:40:23+08:00
K4 253_2026-08-19,K4 253,CKS,2026-08-19,06:40,"YHM, JFK, CVG",Est at 08:30,,departure,2026-08-18T16:40:23+08:00
D0 591_2026-08-19,D0 591,DHK,2026-08-19,06:40,"DEL, EMA",,,departure,2026-08-18T16:40:23+08:00
CX 3288_2026-08-19,CX 3288,CPA,2026-08-19,06:50,"ANC, NLU, GDL",,,departure,2026-08-18T16:40:23+08:00
5C 850X_2026-08-19,5C 850X,ICL,2026-08-19,06:55,"DWC, TLV",,,departure,2026-08-18T16:40:23+08:00
K4 243_2026-08-19,K4 243,CKS,2026-08-19,07:00,"ANC, MIA, CVG",,,departure,2026-08-18T16:40:23+08:00
RH 331_2026-08-19,RH 331,HKC,2026-08-19,07:00,BKK,Est at 07:40,,departure,2026-08-18T16:40:23+08:00
HE 772_2026-08-19,HE 772,HGO,2026-08-19,07:00,"DWC, EMA",Est at 21:30,,departure,2026-08-18T16:40:23+08:00
CK 264_2026-08-19,CK 264,CKK,2026-08-19,07:00,CKG,Cancelled,,departure,2026-08-18T16:40:23+08:00
LD 8535_2026-08-19,LD 8535,AHK,2026-08-19,07:05,HAN,,,departure,2026-08-18T16:40:23+08:00
ET 3767_2026-08-19,ET 3767,ETH,2026-08-19,07:10,LGG,Cancelled,,departure,2026-08-18T16:40:23+08:00
QR 8435_2026-08-19,QR 8435,QTR,2026-08-19,07:10,DOH,,,departure,2026-08-18T16:40:23+08:00
HE 852_2026-08-19,HE 852,HGO,2026-08-19,07:15,RUH,Est at 07:00,,departure,2026-08-18T16:40:23+08:00
SR 815_2026-08-19,SR 815,XKY,2026-08-19,07:30,CRK,,,departure,2026-08-18T16:40:23+08:00
5Y 8052_2026-08-19,5Y 8052,GTI,2026-08-19,07:40,ANC,,,departure,2026-08-18T16:40:23+08:00
CX 2075_2026-08-19,CX 2075,CPA,2026-08-19,08:15,SIN,,,departure,2026-08-18T16:40:23+08:00
3S 515_2026-08-19,3S 515,BOX,2026-08-19,08:30,LEJ,,,departure,2026-08-18T16:40:23+08:00
EK 9861_2026-08-19,EK 9861,UAE,2026-08-19,08:40,DWC,Est at 11:25,,departure,2026-08-18T16:40:23+08:00
5Y 8030_2026-08-19,5Y 8030,GTI,2026-08-19,08:50,"ANC, MIA",Est at 17:30,,departure,2026-08-18T16:40:23+08:00
CV 515_2026-08-19,CV 515,CLX,2026-08-19,09:20,"GYD, BUD, LUX",Est at 10:35,,departure,2026-08-18T16:40:23+08:00
KJ 952_2026-08-19,KJ 952,AIH,2026-08-19,09:20,ICN,,,departure,2026-08-18T16:40:23+08:00
RH 371_2026-08-19,RH 371,HKC,2026-08-19,09:35,SIN,Est at 10:45,,departure,2026-08-18T16:40:23+08:00
QR 8403_2026-08-19,QR 8403,QTR,2026-08-19,09:35,DOH,,,departure,2026-08-18T16:40:23+08:00
K4 704_2026-08-19,K4 704,CKS,2026-08-19,09:40,"GYD, TLV",Est at 09:30,,departure,2026-08-18T16:40:23+08:00
QY 657_2026-08-19,QY 657,BCS,2026-08-19,09:50,"GYD, LEJ",,,departure,2026-08-18T16:40:23+08:00
O3 268_2026-08-19,O3 268,CSS,2026-08-19,09:55,NGB,,,departure,2026-08-18T16:40:23+08:00
QY 517_2026-08-19,QY 517,BCS,2026-08-19,10:00,"DWC, LEJ",,,departure,2026-08-18T16:40:23+08:00
5X 067_2026-08-19,5X 067,UPS,2026-08-19,10:15,"ANC, SDF",,,departure,2026-08-18T16:40:23+08:00
CX 3174_2026-08-19,CX 3174,CPA,2026-08-19,10:25,"ANC, MIA, ATL",,,departure,2026-08-18T16:40:23+08:00
CX 3241_2026-08-19,CX 3241,CPA,2026-08-19,10:45,CGK,,,departure,2026-08-18T16:40:23+08:00
5X 003_2026-08-19,5X 003,UPS,2026-08-19,11:25,"BLR, CGN, PHL",,,departure,2026-08-18T16:40:23+08:00
QR 8465_2026-08-19,QR 8465,QTR,2026-08-19,11:30,DOH,,,departure,2026-08-18T16:40:23+08:00
CX 045_2026-08-19,CX 045,CPA,2026-08-19,12:00,BOM,,,departure,2026-08-18T16:40:23+08:00
3V 400_2026-08-19,3V 400,TAY,2026-08-19,12:25,"ALA, LGG",,,departure,2026-08-18T16:40:23+08:00
5Y 8131_2026-08-19,5Y 8131,GTI,2026-08-19,12:40,"DEL, ANC",Est at 23:30,,departure,2026-08-18T16:40:23+08:00
CV 261_2026-08-19,CV 261,CLX,2026-08-19,13:00,"ANC, MIA, JFK, LUX",,,departure,2026-08-18T16:40:23+08:00
EK 9859_2026-08-19,EK 9859,UAE,2026-08-19,13:15,DWC,Est at 15:15,,departure,2026-08-18T16:40:23+08:00
KJ 970_2026-08-19,KJ 970,AIH,2026-08-19,13:20,ICN,Est at 13:30,,departure,2026-08-18T16:40:23+08:00
CX 3294_2026-08-19,CX 3294,CPA,2026-08-19,13:30,"ANC, JFK",,,departure,2026-08-18T16:40:23+08:00
TK 6237_2026-08-19,TK 6237,THY,2026-08-19,14:00,IST,,,departure,2026-08-18T16:40:23+08:00
K4 551_2026-08-19,K4 551,CKS,2026-08-19,14:15,"NRT, ANC, ORD",,,departure,2026-08-18T16:40:23+08:00
CX 2086_2026-08-19,CX 2086,CPA,2026-08-19,14:25,"ANC, MIA",,,departure,2026-08-18T16:40:23+08:00
WW 862_2026-08-19,WW 862,KXP,2026-08-19,14:45,KUL,Est at 01:00,,departure,2026-08-18T16:40:23+08:00
EK 9781_2026-08-19,EK 9781,UAE,2026-08-19,14:45,DWC,,,departure,2026-08-18T16:40:23+08:00
KZ 206_2026-08-19,KZ 206,NCA,2026-08-19,15:30,NRT,,,departure,2026-08-18T16:40:23+08:00
5X 001_2026-08-19,5X 001,UPS,2026-08-19,15:40,"CGN, PHL",,,departure,2026-08-18T16:40:23+08:00
EY 9726_2026-08-19,EY 9726,ETD,2026-08-19,15:50,AUH,,,departure,2026-08-18T16:40:23+08:00
RH 317_2026-08-19,RH 317,HKC,2026-08-19,15:55,HAN,,,departure,2026-08-18T16:40:23+08:00
5X 061_2026-08-19,5X 061,UPS,2026-08-19,16:05,"TPE, ANC, SDF",,,departure,2026-08-18T16:40:23+08:00
P9 881_2026-08-19,P9 881,MGE,2026-08-19,16:10,GUM,Est at 20:30,,departure,2026-08-18T16:40:23+08:00
5X 166_2026-08-19,5X 166,UPS,2026-08-19,16:10,"SIN, SDF",,,departure,2026-08-18T16:40:23+08:00
ET 3629_2026-08-19,ET 3629,ETH,2026-08-19,16:15,ADD,Est at 18:45,,departure,2026-08-18T16:40:23+08:00
CX 3037_2026-08-19,CX 3037,CPA,2026-08-19,16:15,HAN,,,departure,2026-08-18T16:40:23+08:00
K4 270_2026-08-19,K4 270,CKS,2026-08-19,16:30,"GYD, LGG",Est at 16:00,,departure,2026-08-18T16:40:23+08:00
3S 519_2026-08-19,3S 519,BOX,2026-08-19,17:00,LEJ,,,departure,2026-08-18T16:40:23+08:00
CX 041_2026-08-19,CX 041,CPA,2026-08-19,17:05,DEL,,,departure,2026-08-18T16:40:23+08:00
7L 923_2026-08-19,7L 923,AZG,2026-08-19,17:20,GYD,,,departure,2026-08-18T16:40:23+08:00
KE 8314_2026-08-19,KE 8314,KAL,2026-08-19,17:30,ICN,,,departure,2026-08-18T16:40:23+08:00
SQ 7988_2026-08-19,SQ 7988,SIA,2026-08-19,17:35,"ANC, LAX",,,departure,2026-08-18T16:40:23+08:00
TH 641_2026-08-19,TH 641,RMY,2026-08-19,17:45,KUL,,,departure,2026-08-18T16:40:23+08:00
Z7 322_2026-08-19,Z7 322,CMS,2026-08-19,18:00,"CCU, TBS",,,departure,2026-08-18T16:40:23+08:00
RH 9457_2026-08-19,RH 9457,HKC,2026-08-19,18:20,DEL,,,departure,2026-08-18T16:40:23+08:00
7L 1923_2026-08-19,7L 1923,AZG,2026-08-19,18:20,GYD,,,departure,2026-08-18T16:40:23+08:00
7L 624_2026-08-19,7L 624,AZG,2026-08-19,18:25,GYD,,,departure,2026-08-18T16:40:23+08:00
5Y 825_2026-08-19,5Y 825,GTI,2026-08-19,18:35,"ANC, MIA",Est at 19:00,,departure,2026-08-18T16:40:23+08:00
RH 9375_2026-08-19,RH 9375,HKC,2026-08-19,18:35,MAA,,,departure,2026-08-18T16:40:23+08:00
CX 3349_2026-08-19,CX 3349,CPA,2026-08-19,18:40,BKK,,,departure,2026-08-18T16:40:23+08:00
CV 245_2026-08-19,CV 245,CLX,2026-08-19,18:50,"NLU, GDL, LAX, LUX",Est at 19:05,,departure,2026-08-18T16:40:23+08:00
TK 6239_2026-08-19,TK 6239,THY,2026-08-19,19:00,"CIT, IST",,,departure,2026-08-18T16:40:23+08:00
5X 063_2026-08-19,5X 063,UPS,2026-08-19,19:05,"ANC, SDF",,,departure,2026-08-18T16:40:23+08:00
CI 6844_2026-08-19,CI 6844,CAL,2026-08-19,19:20,TPE,Est at 18:50,,departure,2026-08-18T16:40:23+08:00
5X 1931_2026-08-19,5X 1931,UPS,2026-08-19,19:30,"ANC, SDF",Cancelled,,departure,2026-08-18T16:40:23+08:00
SQ 7861_2026-08-19,SQ 7861,SIA,2026-08-19,19:30,SIN,,,departure,2026-08-18T16:40:23+08:00
MH 6103_2026-08-19,MH 6103,MAS,2026-08-19,19:40,KUL,Est at 19:40 (20/08/2026),,departure,2026-08-18T16:40:23+08:00
AK 8546_2026-08-19,AK 8546,AXM,2026-08-19,19:45,KUL,,,departure,2026-08-18T16:40:23+08:00
FX 5991_2026-08-19,FX 5991,FDX,2026-08-19,19:50,"KIX, OAK",,,departure,2026-08-18T16:40:23+08:00
5X 059_2026-08-19,5X 059,UPS,2026-08-19,19:50,"ANC, ONT",Est at 19:45,,departure,2026-08-18T16:40:23+08:00
CX 017_2026-08-19,CX 017,CPA,2026-08-19,20:00,MAA,,,departure,2026-08-18T16:40:23+08:00
CX 090_2026-08-19,CX 090,CPA,2026-08-19,20:50,"ANC, ORD",,,departure,2026-08-18T16:40:23+08:00
CV 531_2026-08-19,CV 531,CLX,2026-08-19,21:10,"ASB, LUX",Est at 00:15 (20/08/2026),,departure,2026-08-18T16:40:23+08:00
CI 5834_2026-08-19,CI 5834,CAL,2026-08-19,21:20,TPE,Est at 23:50,,departure,2026-08-18T16:40:23+08:00
RH 351_2026-08-19,RH 351,HKC,2026-08-19,21:20,MNL,,,departure,2026-08-18T16:40:23+08:00
SV 963_2026-08-19,SV 963,SVA,2026-08-19,21:35,RUH,Est at 14:30 (20/08/2026),,departure,2026-08-18T16:40:23+08:00
