flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
RH 4568_2026-07-12,RH 4568,HKC,2026-07-12,00:15,TPE,Dep 10:41 (13/07/2026),,departure,
RH 829_2026-07-12,RH 829,HKC,2026-07-12,00:15,PVG,Cancelled,,departure,
ET 3785_2026-07-12,ET 3785,ETH,2026-07-12,00:15,"MCT, MAD",Cancelled,,departure,
HE 1710_2026-07-12,HE 1710,HGO,2026-07-12,00:30,GYD,Dep 00:39,,departure,
CV 3119_2026-07-12,CV 3119,CLX,2026-07-12,00:35,"ASB, LUX",Dep 00:29,,departure,
CX 006_2026-07-12,CX 006,CPA,2026-07-12,00:50,NRT,Dep 13:51 (13/07/2026),,departure,
CX 096_2026-07-12,CX 096,CPA,2026-07-12,01:30,"ANC, NLU",Dep 05:22,,departure,
SV 987_2026-07-12,SV 987,SVA,2026-07-12,01:40,RUH,Dep 02:25,,departure,
MB 502_2026-07-12,MB 502,MNB,2026-07-12,02:00,"SHJ, IST",Cancelled,,departure,
QR 8465_2026-07-12,QR 8465,QTR,2026-07-12,02:20,DOH,Dep 02:19,,departure,
KZ 202_2026-07-12,KZ 202,NCA,2026-07-12,02:25,NRT,Dep 02:10,,departure,
7L 1512_2026-07-12,7L 1512,AZG,2026-07-12,02:30,GYD,Cancelled,,departure,
7L 1612_2026-07-12,7L 1612,AZG,2026-07-12,02:30,GYD,Dep 14:06,,departure,
5X 063_2026-07-12,5X 063,UPS,2026-07-12,02:35,"ANC, SDF",Dep 02:27,,departure,
QR 8419_2026-07-12,QR 8419,QTR,2026-07-12,02:40,DOH,Cancelled,,departure,
CI 5826_2026-07-12,CI 5826,CAL,2026-07-12,03:00,TPE,Dep 22:40,,departure,
KE 314_2026-07-12,KE 314,KAL,2026-07-12,03:10,ICN,Dep 02:52,,departure,
LD 457_2026-07-12,LD 457,AHK,2026-07-12,03:35,"MNL, CEB",Dep 03:46,,departure,
LD 768_2026-07-12,LD 768,AHK,2026-07-12,03:35,PEK,Dep 03:31,,departure,
LD 831_2026-07-12,LD 831,AHK,2026-07-12,03:40,BKK,Dep 03:41,,departure,
8K 526_2026-07-12,8K 526,KMI,2026-07-12,03:40,BKK,Dep 03:39,,departure,
ET 3769_2026-07-12,ET 3769,ETH,2026-07-12,03:50,"EMA, ADD",Cancelled,,departure,
LD 216_2026-07-12,LD 216,AHK,2026-07-12,03:55,NGO,Dep 04:10,,departure,
LD 327_2026-07-12,LD 327,AHK,2026-07-12,03:55,SIN,Dep 03:54,,departure,
LD 204_2026-07-12,LD 204,AHK,2026-07-12,04:00,KIX,Dep 04:09,,departure,
MS 510_2026-07-12,MS 510,MSR,2026-07-12,04:00,BKK,Dep 04:58,,departure,
QR 8407_2026-07-12,QR 8407,QTR,2026-07-12,04:00,DOH,Dep 03:43,,departure,
LD 208_2026-07-12,LD 208,AHK,2026-07-12,04:05,NRT,Dep 03:59,,departure,
LD 720_2026-07-12,LD 720,AHK,2026-07-12,04:05,CTU,Dep 03:59,,departure,
LD 782D_2026-07-12,LD 782D,AHK,2026-07-12,04:15,PVG,Dep 17:38 (13/07/2026),,departure,
TH 3091_2026-07-12,TH 3091,RMY,2026-07-12,04:15,PEN,Dep 04:17,,departure,
3S 519_2026-07-12,3S 519,BOX,2026-07-12,04:25,LEJ,Dep 04:09,,departure,
CX 007_2026-07-12,CX 007,CPA,2026-07-12,04:40,"BLR, LHR",Dep 04:31,,departure,
LD 128_2026-07-12,LD 128,AHK,2026-07-12,04:50,ICN,Dep 04:49,,departure,
K4 223_2026-07-12,K4 223,CKS,2026-07-12,04:55,ANC,Dep 06:19,,departure,
LD 561_2026-07-12,LD 561,AHK,2026-07-12,05:00,"SGN, PEN",Dep 04:53,,departure,
ES 736_2026-07-12,ES 736,DHX,2026-07-12,05:00,"BLR, BAH",Dep 05:05,,departure,
TH 3508_2026-07-12,TH 3508,RMY,2026-07-12,05:00,KUL,Dep 04:50,,departure,
QR 8441_2026-07-12,QR 8441,QTR,2026-07-12,05:30,DOH,Dep 05:27,,departure,
D0 019_2026-07-12,D0 019,DHK,2026-07-12,05:35,"LEJ, EMA",Dep 05:44,,departure,
3S 713_2026-07-12,3S 713,BOX,2026-07-12,05:35,"DXB, LEJ",Dep 05:43,,departure,
3S 707_2026-07-12,3S 707,BOX,2026-07-12,05:45,"BAH, LEJ",Dep 07:12,,departure,
QR 8453_2026-07-12,QR 8453,QTR,2026-07-12,05:45,DOH,Dep 05:46,,departure,
QY 655_2026-07-12,QY 655,BCS,2026-07-12,05:55,"DWC, LEJ",Dep 06:03,,departure,
QY 679_2026-07-12,QY 679,BCS,2026-07-12,05:55,DWC,Dep 07:11,,departure,
3S 517_2026-07-12,3S 517,BOX,2026-07-12,06:00,LEJ,Dep 05:54,,departure,
QR 8431_2026-07-12,QR 8431,QTR,2026-07-12,06:00,DOH,Dep 06:01,,departure,
QY 651_2026-07-12,QY 651,BCS,2026-07-12,06:30,"BAH, LEJ",Dep 06:50,,departure,
