flight_id,flight_no,airline,date,time,destination,status,status_code,flight_type,last_updated
ET 3785_2026-05-27,ET 3785,ETH,2026-05-27,00:00,"MCT, MAD, ADD",Dep 06:50,,departure,
ET 3791_2026-05-27,ET 3791,ETH,2026-05-27,00:00,LGG,Cancelled,,departure,
RH 4568_2026-05-27,RH 4568,HKC,2026-05-27,00:15,TPE,Dep 20:14,,departure,
RH 829_2026-05-27,RH 829,HKC,2026-05-27,00:15,PVG,Cancelled,,departure,
3G 801_2026-05-27,3G 801,WCM,2026-05-27,00:30,KUL,Cancelled,,departure,
CX 006_2026-05-27,CX 006,CPA,2026-05-27,00:50,NRT,Dep 01:14,,departure,
2U 8011_2026-05-27,2U 8011,FKH,2026-05-27,00:50,"NQZ, RIX",Cancelled,,departure,
RH 4568_2026-05-27,RH 4568,HKC,2026-05-27,01:00,TPE,Cancelled,,departure,
2U 8011_2026-05-27,2U 8011,FKH,2026-05-27,01:00,"NQZ, RIX",Dep 00:54,,departure,
QR 8441_2026-05-27,QR 8441,QTR,2026-05-27,01:10,DOH,Dep 00:53,,departure,
RH 829_2026-05-27,RH 829,HKC,2026-05-27,01:20,PVG,Dep 09:53,,departure,
KZ 202_2026-05-27,KZ 202,NCA,2026-05-27,01:25,NRT,Dep 01:47,,departure,
CX 096_2026-05-27,CX 096,CPA,2026-05-27,01:30,"ANC, NLU",Dep 04:45,,departure,
SV 985_2026-05-27,SV 985,SVA,2026-05-27,02:05,RUH,Dep 13:35,,departure,
JL 6782_2026-05-27,JL 6782,JAL,2026-05-27,02:20,NRT,Dep 02:29,,departure,
NH 8512_2026-05-27,NH 8512,ANA,2026-05-27,02:25,NRT,Dep 02:08,,departure,
QR 8421_2026-05-27,QR 8421,QTR,2026-05-27,02:30,DOH,Dep 03:09,,departure,
QR 8465_2026-05-27,QR 8465,QTR,2026-05-27,02:40,DOH,Dep 03:20,,departure,
EK 9881_2026-05-27,EK 9881,UAE,2026-05-27,02:55,DWC,Cancelled,,departure,
CI 5826_2026-05-27,CI 5826,CAL,2026-05-27,03:00,TPE,Dep 02:37,,departure,
QR 8411_2026-05-27,QR 8411,QTR,2026-05-27,03:05,DOH,Dep 02:39,,departure,
KE 314_2026-05-27,KE 314,KAL,2026-05-27,03:10,ICN,Dep 03:01,,departure,
LD 204_2026-05-27,LD 204,AHK,2026-05-27,03:15,KIX,Dep 03:24,,departure,
LD 128_2026-05-27,LD 128,AHK,2026-05-27,03:20,ICN,Dep 03:19,,departure,
7L 621_2026-05-27,7L 621,AZG,2026-05-27,03:20,GYD,Cancelled,,departure,
7L 1148_2026-05-27,7L 1148,AZG,2026-05-27,03:20,GYD,Dep 03:23,,departure,
BR 6538_2026-05-27,BR 6538,EVA,2026-05-27,03:20,TPE,Dep 02:58,,departure,
LD 208_2026-05-27,LD 208,AHK,2026-05-27,03:25,NRT,Dep 03:44,,departure,
LD 327_2026-05-27,LD 327,AHK,2026-05-27,03:25,SIN,Dep 03:24,,departure,
